sequence number,asset,time (from exchange),ask,ask size,bid,bid size
630173512271889991,WIF-USD-SWAP-LIN,1747491406187,0.9484,12598.0,0.9444,0.9444
765173511948853203,PURPE-USD-SWAP-LIN,1747491406207,0.07984,64574.0,0.07983,0.07983
738173511997828388,ZEUS-USD-SWAP-LIN,1747491406214,0.2528,109704.0,0.2514,0.2514
598173512108130601,EIGEN-USD-SWAP-LIN,1747491406196,1.1947,21679.6,1.1895,1.1895
440173512300497091,LDO-USD-SWAP-LIN,1747491406266,0.9323,29825.0,0.9285,0.9285
100173512386555336,OX-USD-SWAP-LIN,1747491406252,0.00086,17704545.0,0.00081,0.00081
600173512271038085,1000PEPE-USD-SWAP-LIN,1747491406240,0.012362,1765178.0,0.012308,0.012308
745173511978069504,AIXBT-USD-SWAP-LIN,1747491406215,0.165651,108753.0,0.164829,0.164829
102473977887595553,BROCCOLI3-USD-SWAP-LIN,1747491406228,0.012701,166196.0,0.012431,0.012431
107574565978960333,LetsBONK-USD-SWAP-LIN,1747491406294,0.0377,177376.0,0.03738,0.03738
738173511997828389,ZEUS-USD-SWAP-LIN,1747491406315,0.2528,109704.0,0.2514,0.2514
630173512271889992,WIF-USD-SWAP-LIN,1747491406287,0.9484,12598.0,0.9444,0.9444
765173511948853204,PURPE-USD-SWAP-LIN,1747491406308,0.07984,64574.0,0.07983,0.07983
440173512300497092,LDO-USD-SWAP-LIN,1747491406366,0.9323,29825.0,0.9285,0.9285
598173512108130602,EIGEN-USD-SWAP-LIN,1747491406296,1.1947,21679.6,1.1895,1.1895
600173512271038086,1000PEPE-USD-SWAP-LIN,1747491406341,0.012362,1765178.0,0.012308,0.012308
102473977887595554,BROCCOLI3-USD-SWAP-LIN,1747491406328,0.012701,166196.0,0.012431,0.012431
745173511978069505,AIXBT-USD-SWAP-LIN,1747491406315,0.165651,108753.0,0.164829,0.164829
100173512386555337,OX-USD-SWAP-LIN,1747491406353,0.00086,17704545.0,0.00081,0.00081
107574565978960334,LetsBONK-USD-SWAP-LIN,1747491406394,0.0377,177376.0,0.03738,0.03738
765173511948853205,PURPE-USD-SWAP-LIN,1747491406408,0.07984,64574.0,0.07983,0.07983
630173512271889993,WIF-USD-SWAP-LIN,1747491406388,0.9484,12598.0,0.9444,0.9444
738173511997828390,ZEUS-USD-SWAP-LIN,1747491406415,0.2528,109704.0,0.2514,0.2514
440173512300497093,LDO-USD-SWAP-LIN,1747491406467,0.9323,29825.0,0.9285,0.9285
102473977887595555,BROCCOLI3-USD-SWAP-LIN,1747491406428,0.012701,166196.0,0.012431,0.012431
100173512386555338,OX-USD-SWAP-LIN,1747491406453,0.00086,17704545.0,0.00081,0.00081
745173511978069506,AIXBT-USD-SWAP-LIN,1747491406415,0.165651,108753.0,0.164829,0.164829
598173512108130603,EIGEN-USD-SWAP-LIN,1747491406397,1.1947,21679.6,1.1895,1.1895
600173512271038087,1000PEPE-USD-SWAP-LIN,1747491406441,0.012362,1765178.0,0.012308,0.012308
107574565978960335,LetsBONK-USD-SWAP-LIN,1747491406494,0.0377,177376.0,0.03738,0.03738
738173511997828391,ZEUS-USD-SWAP-LIN,1747491406515,0.2528,109704.0,0.2514,0.2514
765173511948853206,PURPE-USD-SWAP-LIN,1747491406508,0.07984,64574.0,0.07983,0.07983
630173512271889994,WIF-USD-SWAP-LIN,1747491406488,0.9484,12598.0,0.9444,0.9444
745173511978069507,AIXBT-USD-SWAP-LIN,1747491406516,0.165651,108753.0,0.164829,0.164829
600173512271038088,1000PEPE-USD-SWAP-LIN,1747491406541,0.012362,1765178.0,0.012308,0.012308
598173512108130604,EIGEN-USD-SWAP-LIN,1747491406497,1.1947,21679.6,1.1895,1.1895
102473977887595556,BROCCOLI3-USD-SWAP-LIN,1747491406529,0.012701,166196.0,0.012431,0.012431
100173512386555339,OX-USD-SWAP-LIN,1747491406554,0.00086,17704545.0,0.00081,0.00081
440173512300497094,LDO-USD-SWAP-LIN,1747491406567,0.9323,29825.0,0.9285,0.9285
107574565978960336,LetsBONK-USD-SWAP-LIN,1747491406594,0.0377,177376.0,0.03738,0.03738
630173512271889995,WIF-USD-SWAP-LIN,1747491406588,0.9484,12598.0,0.9444,0.9444
738173511997828392,ZEUS-USD-SWAP-LIN,1747491406616,0.2528,109704.0,0.2514,0.2514
765173511948853207,PURPE-USD-SWAP-LIN,1747491406609,0.07984,64574.0,0.07983,0.07983
102473977887595557,BROCCOLI3-USD-SWAP-LIN,1747491406629,0.012701,166196.0,0.012431,0.012431
100173512386555340,OX-USD-SWAP-LIN,1747491406654,0.00086,17704545.0,0.00081,0.00081
600173512271038089,1000PEPE-USD-SWAP-LIN,1747491406642,0.012362,1765178.0,0.012308,0.012308
598173512108130605,EIGEN-USD-SWAP-LIN,1747491406597,1.1947,21679.6,1.1895,1.1895
745173511978069508,AIXBT-USD-SWAP-LIN,1747491406616,0.165765,149778.0,0.164943,0.164943
440173512300497095,LDO-USD-SWAP-LIN,1747491406667,0.9323,29825.0,0.9285,0.9285
107574565978960337,LetsBONK-USD-SWAP-LIN,1747491406695,0.0377,177376.0,0.03738,0.03738
765173511948853208,PURPE-USD-SWAP-LIN,1747491406709,0.07984,64574.0,0.07983,0.07983
630173512271889996,WIF-USD-SWAP-LIN,1747491406688,0.9484,12598.0,0.9444,0.9444
738173511997828393,ZEUS-USD-SWAP-LIN,1747491406716,0.2528,109704.0,0.2514,0.2514
598173512108130606,EIGEN-USD-SWAP-LIN,1747491406698,1.1947,21679.6,1.1895,1.1895
600173512271038090,1000PEPE-USD-SWAP-LIN,1747491406742,0.012362,1765178.0,0.012308,0.012308
100173512386555341,OX-USD-SWAP-LIN,1747491406755,0.00086,17704545.0,0.00081,0.00081
102473977887595558,BROCCOLI3-USD-SWAP-LIN,1747491406729,0.012701,166196.0,0.012431,0.012431
745173511978069509,AIXBT-USD-SWAP-LIN,1747491406716,0.165765,149778.0,0.164943,0.164943
440173512300497096,LDO-USD-SWAP-LIN,1747491406768,0.9323,29825.0,0.9285,0.9285
107574565978960338,LetsBONK-USD-SWAP-LIN,1747491406795,0.0377,177376.0,0.03738,0.03738
765173511948853209,PURPE-USD-SWAP-LIN,1747491406809,0.07984,64574.0,0.07983,0.07983
738173511997828394,ZEUS-USD-SWAP-LIN,1747491406816,0.2528,109704.0,0.2514,0.2514
630173512271889997,WIF-USD-SWAP-LIN,1747491406789,0.9484,12598.0,0.9444,0.9444
440173512300497097,LDO-USD-SWAP-LIN,1747491406868,0.9323,29825.0,0.9285,0.9285
745173511978069510,AIXBT-USD-SWAP-LIN,1747491406817,0.165765,149778.0,0.164943,0.164943
102473977887595559,BROCCOLI3-USD-SWAP-LIN,1747491406829,0.012701,166196.0,0.012431,0.012431
598173512108130607,EIGEN-USD-SWAP-LIN,1747491406798,1.1947,21679.6,1.1895,1.1895
600173512271038091,1000PEPE-USD-SWAP-LIN,1747491406842,0.012362,1765178.0,0.012308,0.012308
100173512386555342,OX-USD-SWAP-LIN,1747491406855,0.00086,17704545.0,0.00081,0.00081
107574565978960339,LetsBONK-USD-SWAP-LIN,1747491406895,0.0377,177376.0,0.03738,0.03738
630173512271889998,WIF-USD-SWAP-LIN,1747491406889,0.9484,12598.0,0.9444,0.9444
765173511948853210,PURPE-USD-SWAP-LIN,1747491406910,0.07984,64574.0,0.07983,0.07983
738173511997828395,ZEUS-USD-SWAP-LIN,1747491406917,0.2528,109704.0,0.2514,0.2514
100173512386555343,OX-USD-SWAP-LIN,1747491406956,0.00086,17704545.0,0.00081,0.00081
598173512108130608,EIGEN-USD-SWAP-LIN,1747491406898,1.1947,21679.6,1.1895,1.1895
600173512271038092,1000PEPE-USD-SWAP-LIN,1747491406942,0.012362,1765178.0,0.012308,0.012308
745173511978069511,AIXBT-USD-SWAP-LIN,1747491406917,0.165765,149778.0,0.164943,0.164943
