sequence number,asset,time (from exchange),ask,ask size,bid,bid size
942173684701128658,LMT-USD-SWAP-LIN,1747531437803,0.01893,401070.0,0.01856,0.01856
440173512300896028,LDO-USD-SWAP-LIN,1747531437805,0.9171,27352.0,0.9135,0.9135
645173512078025886,CREAM-USD-SWAP-LIN,1747531437783,1.816,1640.02,1.744,1.744
943173694004800047,HEYANON-USD-SWAP-LIN,1747531437884,7.481,1899.9,7.425,7.425
100273885379251408,BERA-USD-SWAP-LIN,1747531437855,3.128,6595.3,3.111,3.111
745173511978468165,AIXBT-USD-SWAP-LIN,1747531437892,0.169616,139657.0,0.168779,0.168779
460173512161442945,SIGMA-USD-SWAP-LIN,1747531437833,0.019665,823702.0,0.019521,0.019521
696173512047930259,MAV-USD-SWAP-LIN,1747531437841,0.06724,248915.0,0.06657,0.06657
825173511667857376,ORCA-USD-SWAP-LIN,1747531437801,2.5166,11864.0,2.5066,2.5066
120173512383591205,OP-USD-SWAP-LIN,1747531437807,0.7029,46006.0,0.7001,0.7001
942173684701128659,LMT-USD-SWAP-LIN,1747531437903,0.01893,401070.0,0.01856,0.01856
645173512078025887,CREAM-USD-SWAP-LIN,1747531437884,1.816,1640.02,1.744,1.744
440173512300896029,LDO-USD-SWAP-LIN,1747531437905,0.9171,27352.0,0.9135,0.9135
120173512383591206,OP-USD-SWAP-LIN,1747531437908,0.7029,46006.0,0.7001,0.7001
745173511978468166,AIXBT-USD-SWAP-LIN,1747531437992,0.169616,139657.0,0.168779,0.168779
696173512047930260,MAV-USD-SWAP-LIN,1747531437941,0.06724,248915.0,0.06657,0.06657
825173511667857377,ORCA-USD-SWAP-LIN,1747531437902,2.5166,11864.0,2.5066,2.5066
460173512161442946,SIGMA-USD-SWAP-LIN,1747531437933,0.019665,823702.0,0.019521,0.019521
943173694004800048,HEYANON-USD-SWAP-LIN,1747531437984,7.481,1899.9,7.425,7.425
100273885379251409,BERA-USD-SWAP-LIN,1747531437955,3.128,6595.3,3.111,3.111
942173684701128660,LMT-USD-SWAP-LIN,1747531438004,0.01893,401070.0,0.01856,0.01856
440173512300896030,LDO-USD-SWAP-LIN,1747531438006,0.9171,27352.0,0.9135,0.9135
645173512078025888,CREAM-USD-SWAP-LIN,1747531437984,1.816,1640.02,1.744,1.744
100273885379251410,BERA-USD-SWAP-LIN,1747531438056,3.128,6595.3,3.111,3.111
696173512047930261,MAV-USD-SWAP-LIN,1747531438042,0.06724,248915.0,0.06657,0.06657
460173512161442947,SIGMA-USD-SWAP-LIN,1747531438034,0.019665,823702.0,0.019521,0.019521
943173694004800049,HEYANON-USD-SWAP-LIN,1747531438085,7.481,1899.9,7.425,7.425
825173511667857378,ORCA-USD-SWAP-LIN,1747531438002,2.5166,11864.0,2.5066,2.5066
120173512383591207,OP-USD-SWAP-LIN,1747531438008,0.7029,46006.0,0.7001,0.7001
745173511978468167,AIXBT-USD-SWAP-LIN,1747531438092,0.169616,139657.0,0.168779,0.168779
942173684701128661,LMT-USD-SWAP-LIN,1747531438104,0.01893,401070.0,0.01856,0.01856
645173512078025889,CREAM-USD-SWAP-LIN,1747531438084,1.816,1640.02,1.744,1.744
440173512300896031,LDO-USD-SWAP-LIN,1747531438106,0.9171,27352.0,0.9135,0.9135
745173511978468168,AIXBT-USD-SWAP-LIN,1747531438193,0.169616,139657.0,0.168779,0.168779
460173512161442948,SIGMA-USD-SWAP-LIN,1747531438134,0.019665,823702.0,0.019521,0.019521
825173511667857379,ORCA-USD-SWAP-LIN,1747531438102,2.5166,11864.0,2.5066,2.5066
120173512383591208,OP-USD-SWAP-LIN,1747531438108,0.7029,46006.0,0.7001,0.7001
943173694004800050,HEYANON-USD-SWAP-LIN,1747531438185,7.481,1899.9,7.425,7.425
100273885379251411,BERA-USD-SWAP-LIN,1747531438156,3.128,6595.3,3.111,3.111
696173512047930262,MAV-USD-SWAP-LIN,1747531438142,0.06724,248915.0,0.06657,0.06657
942173684701128662,LMT-USD-SWAP-LIN,1747531438204,0.01893,401070.0,0.01856,0.01856
440173512300896032,LDO-USD-SWAP-LIN,1747531438207,0.9171,27352.0,0.9135,0.9135
645173512078025890,CREAM-USD-SWAP-LIN,1747531438185,1.816,1640.02,1.744,1.744
696173512047930263,MAV-USD-SWAP-LIN,1747531438242,0.06724,248915.0,0.06657,0.06657
825173511667857380,ORCA-USD-SWAP-LIN,1747531438203,2.5166,11864.0,2.5066,2.5066
943173694004800051,HEYANON-USD-SWAP-LIN,1747531438285,7.481,1899.9,7.425,7.425
100273885379251412,BERA-USD-SWAP-LIN,1747531438256,3.128,6595.3,3.111,3.111
120173512383591209,OP-USD-SWAP-LIN,1747531438208,0.7029,46006.0,0.7001,0.7001
745173511978468169,AIXBT-USD-SWAP-LIN,1747531438293,0.169616,139657.0,0.168779,0.168779
460173512161442949,SIGMA-USD-SWAP-LIN,1747531438234,0.019665,823702.0,0.019521,0.019521
942173684701128663,LMT-USD-SWAP-LIN,1747531438304,0.01893,401070.0,0.01856,0.01856
645173512078025891,CREAM-USD-SWAP-LIN,1747531438285,1.816,1640.02,1.744,1.744
440173512300896033,LDO-USD-SWAP-LIN,1747531438307,0.9171,27352.0,0.9135,0.9135
696173512047930264,MAV-USD-SWAP-LIN,1747531438343,0.06724,248915.0,0.06657,0.06657
825173511667857381,ORCA-USD-SWAP-LIN,1747531438303,2.5166,11864.0,2.5066,2.5066
120173512383591210,OP-USD-SWAP-LIN,1747531438309,0.7029,46006.0,0.7001,0.7001
460173512161442950,SIGMA-USD-SWAP-LIN,1747531438334,0.019665,823702.0,0.019521,0.019521
745173511978468170,AIXBT-USD-SWAP-LIN,1747531438394,0.169616,139657.0,0.168779,0.168779
